sheetNum	title	roadType	duration	signs	elements	notes
619-112	Right Two Lane Closure - Freeway Mobile (2 Sheets)	Freeway	Mobile	NYW8-33|W20-5aR|W4-2R	ProtectiveVehicle|ArrowPanel	Tables 112-01..112-06; Book 3 p.48-49
619-113	Left Shoulder Closure on Ramp - Freeway Mobile	Freeway	Mobile	W21-5aL|W5-4	ProtectiveVehicle|ArrowPanel	Tables 113-01,113-02; Book 3 p.50
619-114	Lane Closure - Parkway Mobile	Parkway	Mobile	NYW8-33|W20-5R	ProtectiveVehicle|ArrowPanel	Tables 114-01,114-02,114-03; Book 3 p.51
619-201	Right Shoulder Closure - Non-Freeway	Non-Freeway	Short Duration	W20-1|W7-3a|W8-23	ProtectiveVehicle	Tables 201-01,201-02,201-03,201-04; Book 3 p.52
619-202	Left Lane Closure - Multilane Undivided Roadway	Non-Freeway	Short Duration	NYW8-33|W20-1|W4-2L	ProtectiveVehicle|MergingTaper	Tables 202-01,202-02,202-03,202-04; Book 3 p.53
619-203	Right Lane Closure - Multilane Undivided Roadway	Non-Freeway	Short Duration	NYW8-33|W20-1|W4-2R	ProtectiveVehicle|MergingTaper	Tables 203-01,203-02,203-03,203-04; Book 3 p.54
619-204	Two Way Left Turn Lane Closure - Multilane Undivided Short Duration	Non-Freeway	Short Duration			DesignerRef only - not in 2026 Book 3 PDF. Confirm current NYSDOT sheet before use.
619-205	Right Shoulder Closure - Freeway	Freeway	Short Duration	W20-1|W21-5	ProtectiveVehicle|ArrowPanel	Tables 205-01,205-02,205-03; Book 3 p.55
619-206	Right Lane Closure - Freeway	Freeway	Short Duration	NYW8-33|W20-1|W20-5R|W4-2R	ProtectiveVehicle|ArrowPanel|MergingTaper	Tables 206-01..206-06; Book 3 p.56-57
619-207	Right Two Lane Closure - Freeway	Freeway	Short Duration	NYW8-33|W20-1|W20-5aR|W4-2R	ProtectiveVehicle|ArrowPanel|MergingTaper	Tables 207-01..207-06; Book 3 p.58-59
619-208	Left Lane Closure - Freeway Short Duration	Freeway	Short Duration	NYW8-33|W20-1|W20-5L|W4-2L	ProtectiveVehicle|ArrowPanel|MergingTaper	Tables 208-01,208-02,208-03; Book 3 p.60
619-209	Left Two Lane Closure - Freeway Short Duration	Freeway	Short Duration	NYW8-33|W20-1|W20-5aL|W4-2L	ProtectiveVehicle|ArrowPanel|MergingTaper	Tables 209-01,209-02,209-03; Book 3 p.61
619-211	Left Shoulder Closure on Exit Ramp - Freeway Short Duration	Freeway	Short Duration	W13-4P|W20-1|W21-5aL|W5-4	ProtectiveVehicle|ArrowPanel	Tables 211-01,211-02; Book 3 p.62
619-212	Right/Left Lane Closure - Parkway Short Duration	Parkway	Short Duration	NYW8-33|W20-1|W20-5R|W4-2R	ProtectiveVehicle|ArrowPanel|ShoulderTaper|ChannelizingDevices	Tables 212-01,212-02,212-03,212-04; Book 3 p.63
619-301	Right Shoulder Closure - Freeway (Shoulder >= 8ft)	Freeway	Short Term	G20-1|G20-2|NYR2-2|NYR2-6|R2-1|W20-1|W21-5aL|W21-5aR|W21-5bL|W21-5bR|W7-3a	ProtectiveVehicle|ChannelizingDevices|DownstreamTaper|ShoulderTaper	Tables 301-01,301-02,301-03,301-04; Book 3 p.64; PDF shows SHOULDER TAPER (Table 301-03) on plan — was missing from elements until 2026-08-03
619-302	Right Lane Closure - Multilane Divided Roadway/Freeway	Freeway	Short Term	G20-2|NYR2-2|NYR2-6|NYW8-33|R2-1|W20-1|W20-5|W20-5R|W4-2L|W4-2R	MergingTaper|DownstreamTaper|ProtectiveVehicle|ArrowPanel	Tables 302-01..302-05; Book 3 p.65-66
619-303	Right (or Left) Two-Lane Closure - Multilane Divided Roadway/Freeway	Freeway	Short Term	G20-2|NYR2-2|NYR2-6|NYW8-33|R2-1|W20-1|W20-5aR|W4-2|W4-2R	MergingTaper(x2)|ProtectiveVehicle(upTo5)	Tables 303-01..303-05; Book 3 p.67-68
619-304	Left Lane Closure - Freeway (Shoulder < 8ft)	Freeway	Short Term	G20-2|NYR2-2|NYR2-6|NYW8-33|R2-1|W20-1|W20-5|W20-5L|W4-2L	MergingTaper|DownstreamTaper|ProtectiveVehicle|ArrowPanel|ChannelizingDevices	Tables 304-01,304-02,304-03,304-04; Book 3 p.69
619-305	Left Two-Lane Closure - Freeway (Shoulder < 8ft)	Freeway	Short Term	G20-2|NYR2-2|NYR2-6|NYW8-33|R2-1|W20-1|W20-5L|W20-5aL|W4-2L	MergingTaper(x2)|DownstreamTaper|ProtectiveVehicle|ArrowPanel|ChannelizingDevices	Tables 305-01,305-02,305-03,305-04; Book 3 p.70
619-306	Right Lane Closure - Parkway (Shoulder < 8ft)	Parkway	Short Term	G20-2|NYR2-2|NYR2-6|R2-1|W20-1|W20-5R|W4-2R	MergingTaper|DownstreamTaper|ProtectiveVehicle|ArrowPanel|ChannelizingDevices	Tables 306-01,306-02,306-03,306-04; Book 3 p.71
619-307	Lane Closure with Flaggers - Two-Lane Two-Way Roadway	Two-Lane Two-Way	Short Term	G20-2|W20-1|W20-4|W20-7|W3-4	Flagger|ProtectiveVehicle(optional)|CenterlineCones(optional)	Tables 307-01,307-02,307-03; Book 3 p.72-73
619-308	Lane Closure with Flaggers Prior to Intersection - Two-Lane Two-Way	Two-Lane Two-Way	Short Term	G20-2|W20-1|W20-4|W20-7|W3-4	Flagger|ProtectiveVehicle(optional)	Tables 308-01,308-02,308-03; Book 3 p.74-75; detail/legend sheet
619-309	Lane Closure with Automated Flagger (AFAD) - Two-Lane Two-Way	Two-Lane Two-Way	Short Term	G20-2|R10-6|W20-1|W20-4|W20-7|W3-4	AFAD|Flagger|ProtectiveVehicle(optional)	Tables 309-01..309-06; Book 3 p.76-78; detail/legend sheet
619-310	Shoulder Closure - Non-Freeway	Non-Freeway	Short Term	G20-1|G20-2|W20-1|W7-3a|W8-23	ProtectiveVehicle	Tables 310-01..310-05; Book 3 p.79-80
619-311	Right Lane Closure - Multilane Undivided Roadway	Non-Freeway	Short Term	G20-2|NYW8-33|W20-1|W20-5R|W4-2R	MergingTaper|ShoulderTaper|DownstreamTaper|ProtectiveVehicle|ArrowPanel|ChannelizingDevices	Tables 311-01..311-05; Book 3 p.81-82; PDF shows SHOULDER TAPER (L/3) on plan + Table 311-02
619-312	Two-Way Left Turn Lane Closure - Multilane Undivided Roadway	Non-Freeway	Short Term	G20-2|NYW8-33|R4-7|W20-1|W20-5|W4-2L|W9-3	MergingTaper|ProtectiveVehicle|ArrowPanel|ChannelizingDevices	Tables 312-01..312-05; Book 3 p.83-84
619-313	Right Lane Closure Through Intersection - Multilane One-Way	Non-Freeway	Short Term	G20-2|NYW8-33|W20-1|W20-5R|W4-2R	MergingTaper|DownstreamTaper|ProtectiveVehicle|ArrowPanel|ChannelizingDevices	Tables 313-01..313-05; Book 3 p.85
619-314	Lane Closure with Moving Flaggers - Two-Lane Two-Way	Two-Lane Two-Way	Short Term	G20-1|G20-2|NYW8-33|W20-1|W20-4|W20-7|W3-4|W7-3a	Flagger|ProtectiveVehicle(optional)|ChannelizingDevices	Tables 314-01,314-02,314-03,314-04; Book 3 p.86
619-315	Shoulder Closure at Ramp Approach - Freeway	Freeway	Short Term	G20-2|NYR2-2|NYR2-6|R2-1|W20-1|W21-5aR|W21-5bR|W3-7a|W7-3a	ProtectiveVehicle|ArrowPanel|DownstreamTaper|ShoulderTaper|ChannelizingDevices	Tables 315-01..315-05; Book 3 p.87-88
